Source;Target;Type;Id;Relation
249;429;Directed;370;Relation
249;281;Directed;371;Relation
249;214;Directed;372;Relation
250;015;Directed;373;Relation
251;411;Directed;374;Relation
251;417;Directed;375;Relation
251;026;Directed;376;Relation
252;410;Directed;377;Relation
253;166;Directed;378;Relation
253;306;Directed;379;Relation
254;260;Directed;380;Relation
254;167;Directed;381;Relation
254;376;Directed;382;Relation
254;065;Directed;383;Relation
255;078;Directed;384;Relation
256;157;Directed;385;Relation
257;400;Directed;386;Relation
259;321;Directed;387;Relation
259;156;Directed;388;Relation
259;339;Directed;389;Relation
260;331;Directed;390;Relation
260;397;Directed;391;Relation
260;024;Directed;392;Relation
260;298;Directed;393;Relation
260;039;Directed;394;Relation
260;315;Directed;395;Relation
260;426;Directed;396;Relation
260;173;Directed;397;Relation
261;297;Directed;398;Relation
261;274;Directed;399;Relation
263;215;Directed;400;Relation
264;146;Directed;401;Relation
266;165;Directed;402;Relation
266;018;Directed;403;Relation
266;115;Directed;404;Relation
266;130;Directed;405;Relation
266;367;Directed;406;Relation
266;241;Directed;407;Relation
267;181;Directed;408;Relation
268;376;Directed;409;Relation
269;161;Directed;410;Relation
269;352;Directed;411;Relation
271;163;Directed;412;Relation
272;282;Directed;413;Relation
274;382;Directed;414;Relation
274;362;Directed;415;Relation
275;095;Directed;416;Relation
276;143;Directed;417;Relation
276;252;Directed;418;Relation
277;345;Directed;419;Relation
279;279;Directed;420;Relation
281;429;Directed;421;Relation
282;118;Directed;422;Relation
282;108;Directed;423;Relation
282;299;Directed;424;Relation
284;089;Directed;425;Relation
286;103;Directed;426;Relation
287;416;Directed;427;Relation
288;397;Directed;428;Relation
288;226;Directed;429;Relation
290;237;Directed;430;Relation
292;038;Directed;431;Relation
292;069;Directed;432;Relation
293;397;Directed;433;Relation
295;449;Directed;434;Relation
295;066;Directed;435;Relation
295;056;Directed;436;Relation
295;274;Directed;437;Relation
295;432;Directed;438;Relation
295;112;Directed;439;Relation
295;236;Directed;440;Relation
295;030;Directed;441;Relation
296;442;Directed;442;Relation
297;432;Directed;443;Relation
298;410;Directed;444;Relation
299;243;Directed;445;Relation
299;118;Directed;446;Relation
299;073;Directed;447;Relation
300;436;Directed;448;Relation
301;159;Directed;449;Relation
302;202;Directed;450;Relation
303;193;Directed;451;Relation
303;045;Directed;452;Relation
303;337;Directed;453;Relation
303;287;Directed;454;Relation
304;223;Directed;455;Relation
304;042;Directed;456;Relation
305;109;Directed;457;Relation
305;396;Directed;458;Relation
305;010;Directed;459;Relation
306;298;Directed;460;Relation
306;344;Directed;461;Relation
306;240;Directed;462;Relation
308;135;Directed;463;Relation
308;032;Directed;464;Relation
309;340;Directed;465;Relation
315;410;Directed;466;Relation
316;283;Directed;467;Relation
320;285;Directed;468;Relation
321;199;Directed;469;Relation
321;431;Directed;470;Relation
321;001;Directed;471;Relation
321;041;Directed;472;Relation
321;193;Directed;473;Relation
321;086;Directed;474;Relation
324;222;Directed;475;Relation
324;015;Directed;476;Relation
324;177;Directed;477;Relation
324;250;Directed;478;Relation
325;253;Directed;479;Relation
326;322;Directed;480;Relation
327;417;Directed;481;Relation
327;026;Directed;482;Relation
328;369;Directed;483;Relation
329;092;Directed;484;Relation
329;160;Directed;485;Relation
334;361;Directed;486;Relation
335;122;Directed;487;Relation
336;255;Directed;488;Relation
337;094;Directed;489;Relation
338;111;Directed;490;Relation
339;106;Directed;491;Relation
339;408;Directed;492;Relation
339;193;Directed;493;Relation
340;441;Directed;494;Relation
341;034;Directed;495;Relation
341;201;Directed;496;Relation
342;349;Directed;497;Relation
344;298;Directed;498;Relation
344;288;Directed;499;Relation
344;397;Directed;500;Relation
344;410;Directed;501;Relation
344;202;Directed;502;Relation
345;401;Directed;503;Relation
345;300;Directed;504;Relation
345;408;Directed;505;Relation
345;193;Directed;506;Relation
346;278;Directed;507;Relation
346;405;Directed;508;Relation
347;200;Directed;509;Relation
348;039;Directed;510;Relation
349;294;Directed;511;Relation
350;311;Directed;512;Relation
352;090;Directed;513;Relation
353;124;Directed;514;Relation
362;382;Directed;515;Relation
364;254;Directed;516;Relation
364;254;Directed;517;Relation
366;148;Directed;518;Relation
366;341;Directed;519;Relation
369;319;Directed;520;Relation
369;004;Directed;521;Relation
372;039;Directed;522;Relation
374;013;Directed;523;Relation
374;247;Directed;524;Relation
374;101;Directed;525;Relation
375;217;Directed;526;Relation
376;166;Directed;527;Relation
378;324;Directed;528;Relation
380;144;Directed;529;Relation
380;130;Directed;530;Relation
380;266;Directed;531;Relation
380;124;Directed;532;Relation
380;154;Directed;533;Relation
380;009;Directed;534;Relation
381;237;Directed;535;Relation
381;125;Directed;536;Relation
381;193;Directed;537;Relation
381;405;Directed;538;Relation
382;180;Directed;539;Relation
382;310;Directed;540;Relation
382;425;Directed;541;Relation
383;372;Directed;542;Relation
385;255;Directed;543;Relation
387;301;Directed;544;Relation
387;159;Directed;545;Relation
388;423;Directed;546;Relation
388;092;Directed;547;Relation
390;023;Directed;548;Relation
391;158;Directed;549;Relation
391;346;Directed;550;Relation
391;237;Directed;551;Relation
391;381;Directed;552;Relation
391;193;Directed;553;Relation
391;162;Directed;554;Relation
393;354;Directed;555;Relation
396;280;Directed;556;Relation
396;136;Directed;557;Relation
396;228;Directed;558;Relation
396;364;Directed;559;Relation
396;071;Directed;560;Relation
396;137;Directed;561;Relation
396;248;Directed;562;Relation
396;098;Directed;563;Relation
396;024;Directed;564;Relation
396;254;Directed;565;Relation
396;260;Directed;566;Relation
396;302;Directed;567;Relation
397;226;Directed;568;Relation
397;166;Directed;569;Relation
398;137;Directed;570;Relation
398;198;Directed;571;Relation
399;303;Directed;572;Relation
399;156;Directed;573;Relation
399;339;Directed;574;Relation
400;100;Directed;575;Relation
400;057;Directed;576;Relation
400;410;Directed;577;Relation
400;308;Directed;578;Relation
401;436;Directed;579;Relation
403;180;Directed;580;Relation
405;329;Directed;581;Relation
408;086;Directed;582;Relation
408;246;Directed;583;Relation
408;389;Directed;584;Relation
410;397;Directed;585;Relation
410;415;Directed;586;Relation
410;230;Directed;587;Relation
410;226;Directed;588;Relation
410;410;Directed;589;Relation
410;166;Directed;590;Relation
410;306;Directed;591;Relation
411;044;Directed;592;Relation
411;186;Directed;593;Relation
412;088;Directed;594;Relation
412;152;Directed;595;Relation
412;329;Directed;596;Relation
412;412;Directed;597;Relation
414;437;Directed;598;Relation
417;334;Directed;599;Relation
417;050;Directed;600;Relation
417;216;Directed;601;Relation
417;174;Directed;602;Relation
419;414;Directed;603;Relation
420;141;Directed;604;Relation
420;135;Directed;605;Relation
422;345;Directed;606;Relation
422;095;Directed;607;Relation
423;092;Directed;608;Relation
424;413;Directed;609;Relation
425;103;Directed;610;Relation
427;042;Directed;611;Relation
431;416;Directed;612;Relation
433;056;Directed;613;Relation
433;066;Directed;614;Relation
434;173;Directed;615;Relation
434;255;Directed;616;Relation
436;242;Directed;617;Relation
437;013;Directed;618;Relation
439;335;Directed;619;Relation
440;440;Directed;620;Relation
442;077;Directed;621;Relation
443;077;Directed;622;Relation
444;040;Directed;623;Relation
445;128;Directed;624;Relation
445;291;Directed;625;Relation
446;089;Directed;626;Relation
446;137;Directed;627;Relation
447;177;Directed;628;Relation
447;015;Directed;629;Relation
447;250;Directed;630;Relation
448;062;Directed;631;Relation
448;007;Directed;632;Relation
449;180;Directed;633;Relation
449;402;Directed;634;Relation
449;121;Directed;635;Relation
001;320;Directed;636;Generalization
002;301;Directed;637;Generalization
003;221;Directed;638;Generalization
003;220;Directed;639;Generalization
004;442;Directed;640;Generalization
005;161;Directed;641;Generalization
005;148;Directed;642;Generalization
008;211;Directed;643;Generalization
010;398;Directed;644;Generalization
010;240;Directed;645;Generalization
011;007;Directed;646;Generalization
011;098;Directed;647;Generalization
014;405;Directed;648;Generalization
015;332;Directed;649;Generalization
016;446;Directed;650;Generalization
018;398;Directed;651;Generalization
019;448;Directed;652;Generalization
021;295;Directed;653;Generalization
022;352;Directed;654;Generalization
022;341;Directed;655;Generalization
023;410;Directed;656;Generalization
024;410;Directed;657;Generalization
025;155;Directed;658;Generalization
026;398;Directed;659;Generalization
027;351;Directed;660;Generalization
028;099;Directed;661;Generalization
031;421;Directed;662;Generalization
031;333;Directed;663;Generalization
031;002;Directed;664;Generalization
031;428;Directed;665;Generalization
031;301;Directed;666;Generalization
033;364;Directed;667;Generalization
034;145;Directed;668;Generalization
038;220;Directed;669;Generalization
039;438;Directed;670;Generalization
039;098;Directed;671;Generalization
041;320;Directed;672;Generalization
043;111;Directed;673;Generalization
044;179;Directed;674;Generalization
045;398;Directed;675;Generalization
045;320;Directed;676;Generalization
046;189;Directed;677;Generalization
047;055;Directed;678;Generalization
049;227;Directed;679;Generalization
050;320;Directed;680;Generalization
052;011;Directed;681;Generalization
053;234;Directed;682;Generalization
054;155;Directed;683;Generalization
055;034;Directed;684;Generalization
055;090;Directed;685;Generalization
056;320;Directed;686;Generalization
058;179;Directed;687;Generalization
059;221;Directed;688;Generalization
059;088;Directed;689;Generalization
060;446;Directed;690;Generalization
062;098;Directed;691;Generalization
063;392;Directed;692;Generalization
065;332;Directed;693;Generalization
066;320;Directed;694;Generalization
067;414;Directed;695;Generalization
068;055;Directed;696;Generalization
069;332;Directed;697;Generalization
070;403;Directed;698;Generalization
072;307;Directed;699;Generalization
074;446;Directed;700;Generalization
075;121;Directed;701;Generalization
077;145;Directed;702;Generalization
078;153;Directed;703;Generalization
079;122;Directed;704;Generalization
079;179;Directed;705;Generalization
080;255;Directed;706;Generalization
081;414;Directed;707;Generalization
082;077;Directed;708;Generalization
084;295;Directed;709;Generalization
085;294;Directed;710;Generalization
086;343;Directed;711;Generalization
087;062;Directed;712;Generalization
088;220;Directed;713;Generalization
089;098;Directed;714;Generalization
090;145;Directed;715;Generalization
091;232;Directed;716;Generalization
092;446;Directed;717;Generalization
092;155;Directed;718;Generalization
093;405;Directed;719;Generalization
094;332;Directed;720;Generalization
095;320;Directed;721;Generalization
096;359;Directed;722;Generalization
096;262;Directed;723;Generalization
096;358;Directed;724;Generalization
096;099;Directed;725;Generalization
097;189;Directed;726;Generalization
097;037;Directed;727;Generalization
098;288;Directed;728;Generalization
099;062;Directed;729;Generalization
100;397;Directed;730;Generalization
101;313;Directed;731;Generalization
102;320;Directed;732;Generalization
103;332;Directed;733;Generalization
105;069;Directed;734;Generalization
106;179;Directed;735;Generalization
107;196;Directed;736;Generalization
109;398;Directed;737;Generalization
109;195;Directed;738;Generalization
110;153;Directed;739;Generalization
110;384;Directed;740;Generalization
111;448;Directed;741;Generalization
112;413;Directed;742;Generalization
113;042;Directed;743;Generalization
115;320;Directed;744;Generalization
116;223;Directed;745;Generalization
117;320;Directed;746;Generalization
118;108;Directed;747;Generalization
120;244;Directed;748;Generalization
121;129;Directed;749;Generalization
122;292;Directed;750;Generalization
123;121;Directed;751;Generalization
124;320;Directed;752;Generalization
125;332;Directed;753;Generalization
126;446;Directed;754;Generalization
127;320;Directed;755;Generalization
129;313;Directed;756;Generalization
130;320;Directed;757;Generalization
133;320;Directed;758;Generalization
134;296;Directed;759;Generalization
135;221;Directed;760;Generalization
135;412;Directed;761;Generalization
137;098;Directed;762;Generalization
138;211;Directed;763;Generalization
139;295;Directed;764;Generalization
140;234;Directed;765;Generalization
141;221;Directed;766;Generalization
141;289;Directed;767;Generalization
142;111;Directed;768;Generalization
143;410;Directed;769;Generalization
144;320;Directed;770;Generalization
145;233;Directed;771;Generalization
146;414;Directed;772;Generalization
147;155;Directed;773;Generalization
148;243;Directed;774;Generalization
149;294;Directed;775;Generalization
150;398;Directed;776;Generalization
151;405;Directed;777;Generalization
152;220;Directed;778;Generalization
154;398;Directed;779;Generalization
155;446;Directed;780;Generalization
156;398;Directed;781;Generalization
158;398;Directed;782;Generalization
159;098;Directed;783;Generalization
159;029;Directed;784;Generalization
161;243;Directed;785;Generalization
162;398;Directed;786;Generalization
164;446;Directed;787;Generalization
165;320;Directed;788;Generalization
167;332;Directed;789;Generalization
168;179;Directed;790;Generalization
169;313;Directed;791;Generalization
170;151;Directed;792;Generalization
171;064;Directed;793;Generalization
172;073;Directed;794;Generalization
174;179;Directed;795;Generalization
175;121;Directed;796;Generalization
177;189;Directed;797;Generalization
178;320;Directed;798;Generalization
179;089;Directed;799;Generalization
180;179;Directed;800;Generalization
181;332;Directed;801;Generalization
182;189;Directed;802;Generalization
184;446;Directed;803;Generalization
185;211;Directed;804;Generalization
186;179;Directed;805;Generalization
187;288;Directed;806;Generalization
189;089;Directed;807;Generalization
189;284;Directed;808;Generalization
192;089;Directed;809;Generalization
193;179;Directed;810;Generalization
193;284;Directed;811;Generalization
194;111;Directed;812;Generalization
198;235;Directed;813;Generalization
199;320;Directed;814;Generalization
200;190;Directed;815;Generalization
201;288;Directed;816;Generalization
202;265;Directed;817;Generalization
203;436;Directed;818;Generalization
204;230;Directed;819;Generalization
205;099;Directed;820;Generalization
206;387;Directed;821;Generalization
207;179;Directed;822;Generalization
208;080;Directed;823;Generalization
209;179;Directed;824;Generalization
210;446;Directed;825;Generalization
211;332;Directed;826;Generalization
212;320;Directed;827;Generalization
213;111;Directed;828;Generalization
216;320;Directed;829;Generalization
217;077;Directed;830;Generalization
219;179;Directed;831;Generalization
221;220;Directed;832;Generalization
222;174;Directed;833;Generalization
222;179;Directed;834;Generalization
223;108;Directed;835;Generalization
223;282;Directed;836;Generalization
223;288;Directed;837;Generalization
224;146;Directed;838;Generalization
224;256;Directed;839;Generalization
225;446;Directed;840;Generalization
229;062;Directed;841;Generalization
232;448;Directed;842;Generalization
233;089;Directed;843;Generalization
235;098;Directed;844;Generalization
236;097;Directed;845;Generalization
237;398;Directed;846;Generalization
238;227;Directed;847;Generalization
241;211;Directed;848;Generalization
242;179;Directed;849;Generalization
243;233;Directed;850;Generalization
245;108;Directed;851;Generalization
246;416;Directed;852;Generalization
247;179;Directed;853;Generalization
248;446;Directed;854;Generalization
250;398;Directed;855;Generalization
251;111;Directed;856;Generalization
254;332;Directed;857;Generalization
254;306;Directed;858;Generalization
256;414;Directed;859;Generalization
257;089;Directed;860;Generalization
258;307;Directed;861;Generalization
259;446;Directed;862;Generalization
260;332;Directed;863;Generalization
261;446;Directed;864;Generalization
262;099;Directed;865;Generalization
263;392;Directed;866;Generalization
264;108;Directed;867;Generalization
266;398;Directed;868;Generalization
268;320;Directed;869;Generalization
269;299;Directed;870;Generalization
270;122;Directed;871;Generalization
270;179;Directed;872;Generalization
272;282;Directed;873;Generalization
273;211;Directed;874;Generalization
274;320;Directed;875;Generalization
275;446;Directed;876;Generalization
276;298;Directed;877;Generalization
277;446;Directed;878;Generalization
278;343;Directed;879;Generalization
279;064;Directed;880;Generalization
281;080;Directed;881;Generalization
284;089;Directed;882;Generalization
285;235;Directed;883;Generalization
286;332;Directed;884;Generalization
287;320;Directed;885;Generalization
289;220;Directed;886;Generalization
290;446;Directed;887;Generalization
292;089;Directed;888;Generalization
293;397;Directed;889;Generalization
295;398;Directed;890;Generalization
296;042;Directed;891;Generalization
297;398;Directed;892;Generalization
300;320;Directed;893;Generalization
301;235;Directed;894;Generalization
302;332;Directed;895;Generalization
303;398;Directed;896;Generalization
305;111;Directed;897;Generalization
307;392;Directed;898;Generalization
308;329;Directed;899;Generalization
309;436;Directed;900;Generalization
310;357;Directed;901;Generalization
314;189;Directed;902;Generalization
316;283;Directed;903;Generalization
318;329;Directed;904;Generalization
319;196;Directed;905;Generalization
320;137;Directed;906;Generalization
321;398;Directed;907;Generalization
323;255;Directed;908;Generalization
323;446;Directed;909;Generalization
324;398;Directed;910;Generalization
325;410;Directed;911;Generalization
326;329;Directed;912;Generalization
327;155;Directed;913;Generalization
328;151;Directed;914;Generalization
330;398;Directed;915;Generalization
331;226;Directed;916;Generalization
332;089;Directed;917;Generalization
333;301;Directed;918;Generalization
334;320;Directed;919;Generalization
335;054;Directed;920;Generalization
336;062;Directed;921;Generalization
337;320;Directed;922;Generalization
338;448;Directed;923;Generalization
339;398;Directed;924;Generalization
340;436;Directed;925;Generalization
341;073;Directed;926;Generalization
342;313;Directed;927;Generalization
343;089;Directed;928;Generalization
345;398;Directed;929;Generalization
346;398;Directed;930;Generalization
347;244;Directed;931;Generalization
348;039;Directed;932;Generalization
350;089;Directed;933;Generalization
352;073;Directed;934;Generalization
353;446;Directed;935;Generalization
354;332;Directed;936;Generalization
355;011;Directed;937;Generalization
356;227;Directed;938;Generalization
357;332;Directed;939;Generalization
358;062;Directed;940;Generalization
359;099;Directed;941;Generalization
360;039;Directed;942;Generalization
361;089;Directed;943;Generalization
362;179;Directed;944;Generalization
363;027;Directed;945;Generalization
363;089;Directed;946;Generalization
364;179;Directed;947;Generalization
365;221;Directed;948;Generalization
365;152;Directed;949;Generalization
366;299;Directed;950;Generalization
367;211;Directed;951;Generalization
368;403;Directed;952;Generalization
369;296;Directed;953;Generalization
371;320;Directed;954;Generalization
372;011;Directed;955;Generalization
373;121;Directed;956;Generalization
374;446;Directed;957;Generalization
375;442;Directed;958;Generalization
376;332;Directed;959;Generalization
378;446;Directed;960;Generalization
379;011;Directed;961;Generalization
380;398;Directed;962;Generalization
381;398;Directed;963;Generalization
382;179;Directed;964;Generalization
383;011;Directed;965;Generalization
384;153;Directed;966;Generalization
384;446;Directed;967;Generalization
385;448;Directed;968;Generalization
386;283;Directed;969;Generalization
387;137;Directed;970;Generalization
389;343;Directed;971;Generalization
390;298;Directed;972;Generalization
